RCD25,4,55
RCD25,16,115
RCD25,64,266
RCD25,256,903
RCD25,1024,3453
RCD25,4096,13682
RCD25,16384,54607
RCD25,65536,226610
RCD50,4,76
RCD50,16,136
RCD50,64,287
RCD50,256,924
RCD50,1024,3474
RCD50,4096,13717
RCD50,16384,54678
RCD50,65536,226630
RCD100,4,117
RCD100,16,177
RCD100,64,328
RCD100,256,966
RCD100,1024,3515
RCD100,4096,13729
RCD100,16384,54680
RCD100,65536,226673
RCD200,4,200
RCD200,16,260
RCD200,64,411
RCD200,256,1206
RCD200,1024,4276
RCD200,4096,16552
RCD200,16384,61800
RCD200,65536,234944
