M,N,word_size,Size,Latency
64,4096,2,8192,441
4096,32,2,4096,237
64,32,2,64,35
64,2048,2,4096,237
2048,32,2,2048,135
64,1024,2,2048,135
1024,32,2,1024,83
64,512,2,1024,83
512,32,2,512,57
4096,64,2,8192,441
64,64,2,128,39
2048,64,2,4096,237
1024,64,2,2048,135
512,64,2,1024,83
4096,128,2,16384,851
64,128,2,256,45
2048,128,2,8192,441
1024,128,2,4096,237
512,128,2,2048,135
128,4096,2,16384,851
128,64,2,256,45
128,2048,2,8192,441
128,1024,2,4096,237
128,512,2,2048,135
128,128,2,512,57
4096,256,2,32768,1671
128,256,2,1024,83
2048,256,2,16384,851
1024,256,2,8192,441
512,256,2,4096,237
256,4096,2,32768,1671
256,128,2,1024,83
256,2048,2,16384,851
256,1024,2,8192,441
256,512,2,4096,237
256,256,2,2048,135
4096,512,2,65536,3309
2048,512,2,32768,1671
1024,512,2,16384,851
512,512,2,8192,441
512,4096,2,65536,3309
512,2048,2,32768,1671
512,1024,2,16384,851
4096,1024,2,131072,6876
2048,1024,2,65536,3309
1024,1024,2,32768,1671
1024,4096,2,131072,6876
1024,2048,2,65536,3309
4096,2048,2,262144,14012
2048,2048,2,131072,6876
2048,4096,2,262144,14012
128,32,2,128,39
32,32,2,32,33
64,16,2,32,33
16,32,2,16,33
32,64,2,64,35
16,64,2,32,33
32,128,2,128,39
16,128,2,64,35
128,16,2,64,35
64,256,2,512,57
32,256,2,256,45
16,256,2,128,39
256,64,2,512,57
256,32,2,256,45
256,16,2,128,39
32,512,2,512,57
16,512,2,256,45
512,16,2,256,45
32,1024,2,1024,83
16,1024,2,512,57
1024,16,2,512,57
32,2048,2,2048,135
16,2048,2,1024,83
2048,16,2,1024,83
32,4096,2,4096,237
16,4096,2,2048,135
64,8192,2,16384,851
8192,32,2,8192,441
8192,64,2,16384,851
8192,128,2,32768,1671
128,8192,2,32768,1671
256,8192,2,65536,3309
512,8192,2,131072,6876
1024,8192,2,262144,14012
64,6144,2,12288,647
6144,32,2,6144,339
6144,64,2,12288,647
6144,128,2,24576,1261
128,6144,2,24576,1261
8192,256,2,65536,3309
6144,256,2,49152,2489
256,6144,2,49152,2489
8192,512,2,131072,6876
6144,512,2,98304,5238
512,6144,2,98304,5238
8192,1024,2,262144,14012
6144,1024,2,196608,10445
1024,6144,2,196608,10445
2,4096,2,256,45
2,32,2,2,33
2,2048,2,128,39
2,1024,2,64,35
2,512,2,32,33
2,64,2,4,33
2,128,2,8,33
2,256,2,16,33
2,8192,2,512,57
2,6144,2,384,51
4,4096,2,512,57
4,32,2,4,33
4,2048,2,256,45
4,1024,2,128,39
4,512,2,64,35
4,64,2,8,33
4,128,2,16,33
4,256,2,32,33
4,8192,2,1024,83
4,6144,2,768,71
8,4096,2,1024,83
8,32,2,8,33
8,2048,2,512,57
8,1024,2,256,45
8,512,2,128,39
8,64,2,16,33
8,128,2,32,33
8,256,2,64,35
8,8192,2,2048,135
8,6144,2,1536,109
16,8192,2,4096,237
16,6144,2,3072,185
